epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
159,21286,1.0522,0.48977,0.18613,0.87488,0.88915,0.90867,0.54462,0.464,0.46704,0.1,0.002179,0.002179,0.002179
160,21412,0.58499,0.52422,0.10266,0.87387,0.88895,0.90913,0.54655,0.46282,0.46593,0.09989,0.0021295,0.0021295,0.0021295
161,21545.6,0.74925,0.4985,0.12177,0.87347,0.88862,0.90867,0.54601,0.46301,0.46582,0.10004,0.00208,0.00208,0.00208
162,21677.8,0.84753,0.50584,0.13921,0.8751,0.8891,0.90956,0.54342,0.46648,0.46683,0.10017,0.0020305,0.0020305,0.0020305
163,21810.8,0.91488,0.48994,0.15537,0.87626,0.88626,0.90812,0.5448,0.46431,0.46631,0.10003,0.001981,0.001981,0.001981
164,21941.9,0.81491,0.4807,0.12642,0.87339,0.88899,0.90782,0.54023,0.4699,0.46661,0.10072,0.0019315,0.0019315,0.0019315
165,22068.2,0.92103,0.47586,0.14922,0.87479,0.88855,0.90975,0.54239,0.46752,0.46515,0.10051,0.001882,0.001882,0.001882
166,22201.2,0.81937,0.49864,0.13522,0.87651,0.88664,0.90982,0.5492,0.45818,0.46326,0.09967,0.0018325,0.0018325,0.0018325
167,22334.8,0.57412,0.50871,0.10139,0.8758,0.88741,0.90989,0.55365,0.45279,0.46149,0.09917,0.001783,0.001783,0.001783
168,22470.5,0.57996,0.50767,0.09855,0.87768,0.88772,0.91039,0.55718,0.4477,0.46027,0.09873,0.0017335,0.0017335,0.0017335
169,22607,0.57543,0.50396,0.09972,0.87611,0.88925,0.91069,0.55965,0.44457,0.45933,0.09844,0.001684,0.001684,0.001684
170,22731.4,0.54463,0.50334,0.09687,0.87726,0.8879,0.9115,0.56357,0.44123,0.45841,0.09809,0.0016345,0.0016345,0.0016345
171,22864.7,0.54839,0.50019,0.09839,0.87847,0.88689,0.91144,0.56532,0.43836,0.45755,0.09779,0.001585,0.001585,0.001585
172,22997.4,0.54406,0.50071,0.09731,0.88027,0.88582,0.9117,0.56835,0.43489,0.45661,0.09745,0.0015355,0.0015355,0.0015355
173,23132.7,1.04948,0.40746,0.17734,0.87982,0.88698,0.91183,0.57147,0.43002,0.45546,0.09705,0.001486,0.001486,0.001486
174,23265.4,0.67669,0.49387,0.11125,0.8807,0.8865,0.91165,0.57321,0.42718,0.45458,0.09675,0.0014365,0.0014365,0.0014365
175,23394.8,0.73152,0.47803,0.11395,0.87932,0.88754,0.91209,0.57289,0.4269,0.45458,0.09669,0.001387,0.001387,0.001387
176,23530.7,0.55512,0.50093,0.0967,0.87764,0.88999,0.91183,0.57261,0.42729,0.45492,0.09672,0.0013375,0.0013375,0.0013375
177,23666.3,0.55325,0.49477,0.09498,0.87706,0.89057,0.91212,0.57288,0.42819,0.45523,0.09681,0.001288,0.001288,0.001288
178,23800.6,0.89716,0.46975,0.13741,0.87711,0.89061,0.91172,0.57032,0.43118,0.45565,0.09713,0.0012385,0.0012385,0.0012385
179,23935.9,0.64311,0.49465,0.1028,0.87676,0.89061,0.9117,0.57027,0.431,0.45545,0.09718,0.001189,0.001189,0.001189
180,24064.7,0.53054,0.49926,0.09162,0.87881,0.88853,0.91139,0.57015,0.43126,0.45584,0.0972,0.0011395,0.0011395,0.0011395
181,24199,0.5463,0.49485,0.09611,0.8789,0.88921,0.91165,0.56925,0.43282,0.45593,0.09736,0.00109,0.00109,0.00109
182,24332.2,0.66223,0.50263,0.11111,0.87872,0.88882,0.91176,0.56807,0.43478,0.45692,0.09755,0.0010405,0.0010405,0.0010405
183,24465.4,0.82135,0.4775,0.1334,0.87965,0.88964,0.91199,0.56821,0.43453,0.4559,0.09756,0.000991,0.000991,0.000991
184,24599.5,0.74069,0.49709,0.11543,0.88035,0.88958,0.91238,0.5702,0.43251,0.4552,0.09734,0.0009415,0.0009415,0.0009415
185,24728.8,0.84043,0.46753,0.12407,0.88138,0.88894,0.91249,0.5696,0.43294,0.45478,0.09735,0.000892,0.000892,0.000892
