epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,3081.91,1.25783,0.92918,1.06204,0.81381,0.79873,0.84534,0.49862,1.44627,0.81543,1.17198,0.0066736,0.0066736,0.0066736
86,3118.53,1.24381,0.90416,1.05374,0.81767,0.8048,0.8488,0.49931,1.45567,0.81405,1.17532,0.006634,0.006634,0.006634
87,3154.68,1.24201,0.91052,1.05338,0.79386,0.82526,0.84391,0.49785,1.44682,0.81648,1.16883,0.0065944,0.0065944,0.0065944
88,3190.48,1.2558,0.9063,1.0617,0.78752,0.8247,0.84343,0.49632,1.45398,0.807,1.17484,0.0065548,0.0065548,0.0065548
89,3226.65,1.2435,0.91405,1.06347,0.79613,0.80657,0.84133,0.49571,1.45551,0.81103,1.17762,0.0065152,0.0065152,0.0065152
90,3262.87,1.2463,0.91427,1.0541,0.81405,0.79826,0.84437,0.50099,1.44977,0.80292,1.1726,0.0064756,0.0064756,0.0064756
91,3299.02,1.2324,0.87769,1.05014,0.80044,0.81381,0.84112,0.49712,1.44611,0.80655,1.16969,0.006436,0.006436,0.006436
92,3335.32,1.24334,0.90655,1.05941,0.805,0.81513,0.84715,0.50446,1.44493,0.8022,1.17042,0.0063964,0.0063964,0.0063964
93,3371.66,1.21826,0.86852,1.04987,0.80533,0.81122,0.84416,0.49785,1.45264,0.80665,1.17149,0.0063568,0.0063568,0.0063568
94,3407.35,1.22106,0.86715,1.04281,0.81818,0.8082,0.85479,0.50899,1.44132,0.78559,1.16657,0.0063172,0.0063172,0.0063172
95,3443.32,1.22682,0.87678,1.05178,0.82802,0.7965,0.84922,0.50583,1.44101,0.78801,1.16974,0.0062776,0.0062776,0.0062776
96,3479.52,1.23783,0.88156,1.05339,0.80819,0.81821,0.84788,0.50607,1.43887,0.79832,1.16786,0.006238,0.006238,0.006238
97,3515.54,1.24508,0.88652,1.06442,0.81501,0.81355,0.85272,0.50649,1.44074,0.7964,1.17002,0.0061984,0.0061984,0.0061984
98,3551.58,1.2182,0.86722,1.04983,0.81057,0.81404,0.8504,0.50673,1.44929,0.79764,1.17606,0.0061588,0.0061588,0.0061588
99,3587.61,1.2169,0.86601,1.04384,0.82119,0.8003,0.84435,0.50148,1.44661,0.81346,1.17203,0.0061192,0.0061192,0.0061192
100,3623.52,1.23354,0.8866,1.06276,0.8134,0.80994,0.84622,0.50474,1.43932,0.79232,1.16881,0.0060796,0.0060796,0.0060796
101,3659.82,1.20306,0.86225,1.03715,0.81591,0.808,0.85075,0.50455,1.44282,0.79319,1.17026,0.00604,0.00604,0.00604
102,3695.97,1.22909,0.88002,1.05315,0.80351,0.8126,0.84597,0.50443,1.43085,0.79776,1.16631,0.0060004,0.0060004,0.0060004
103,3731.92,1.19935,0.838,1.0414,0.81753,0.81266,0.84974,0.50446,1.43942,0.78983,1.16932,0.0059608,0.0059608,0.0059608
104,3768.05,1.2058,0.85869,1.04464,0.81245,0.81101,0.84853,0.50516,1.43983,0.79222,1.1671,0.0059212,0.0059212,0.0059212
105,3804.22,1.20286,0.85092,1.03598,0.80545,0.81919,0.84692,0.50504,1.44004,0.79798,1.17112,0.0058816,0.0058816,0.0058816
106,3840.6,1.20477,0.84308,1.03599,0.81359,0.80982,0.84755,0.50709,1.43329,0.78845,1.16765,0.005842,0.005842,0.005842
107,3876.75,1.20265,0.84673,1.04017,0.80978,0.81152,0.84588,0.50705,1.43216,0.78683,1.16571,0.0058024,0.0058024,0.0058024
108,3913.16,1.18549,0.82665,1.03752,0.81286,0.81099,0.84763,0.5055,1.4362,0.79213,1.16768,0.0057628,0.0057628,0.0057628
109,3949.48,1.19276,0.84089,1.03638,0.80854,0.81613,0.8518,0.50625,1.43076,0.78577,1.16479,0.0057232,0.0057232,0.0057232
110,3986.12,1.19425,0.83835,1.03733,0.80164,0.81713,0.85068,0.50436,1.44091,0.79677,1.17086,0.0056836,0.0056836,0.0056836
111,4022.29,1.18808,0.82136,1.03934,0.79252,0.83445,0.85192,0.50956,1.42257,0.78991,1.16248,0.005644,0.005644,0.005644
112,4058.38,1.18873,0.83947,1.03918,0.81882,0.81303,0.85313,0.51051,1.42054,0.78635,1.16233,0.0056044,0.0056044,0.0056044
113,4094.34,1.21589,0.85448,1.04616,0.81383,0.81965,0.85031,0.51082,1.42282,0.77323,1.16214,0.0055648,0.0055648,0.0055648
114,4130.09,1.21597,0.85056,1.03801,0.81053,0.82505,0.85375,0.51461,1.41526,0.77086,1.15892,0.0055252,0.0055252,0.0055252
115,4165.78,1.19495,0.84158,1.04759,0.8149,0.82057,0.85262,0.51314,1.42906,0.772,1.16515,0.0054856,0.0054856,0.0054856
116,4201.57,1.19885,0.83386,1.03936,0.81141,0.81467,0.84683,0.50835,1.43212,0.78696,1.16711,0.005446,0.005446,0.005446
117,4237.91,1.19087,0.8258,1.03999,0.81387,0.81704,0.85007,0.50972,1.43024,0.77891,1.16909,0.0054064,0.0054064,0.0054064
118,4273.96,1.19329,0.83469,1.04515,0.82903,0.79827,0.84872,0.5097,1.42823,0.78265,1.16734,0.0053668,0.0053668,0.0053668
119,4310.99,1.17432,0.81896,1.03305,0.82238,0.80856,0.85228,0.51359,1.42398,0.78627,1.16495,0.0053272,0.0053272,0.0053272
120,4346.66,1.20071,0.83922,1.0404,0.83075,0.80473,0.85573,0.5147,1.41958,0.77869,1.16043,0.0052876,0.0052876,0.0052876
121,4382.91,1.18341,0.83203,1.0368,0.82311,0.80892,0.85334,0.51066,1.42947,0.77996,1.165,0.005248,0.005248,0.005248
122,4418.45,1.19997,0.8391,1.04492,0.81122,0.82598,0.85414,0.51345,1.42785,0.777,1.16529,0.0052084,0.0052084,0.0052084
123,4454.38,1.17583,0.81788,1.02972,0.81666,0.82737,0.85212,0.51495,1.4244,0.77695,1.16287,0.0051688,0.0051688,0.0051688
124,4490.42,1.19715,0.83984,1.0362,0.81433,0.82665,0.85648,0.51518,1.42951,0.77589,1.16481,0.0051292,0.0051292,0.0051292
125,4526.4,1.15794,0.79496,1.02491,0.81798,0.81996,0.85546,0.51362,1.42801,0.77956,1.16675,0.0050896,0.0050896,0.0050896
126,4562.36,1.18558,0.82471,1.03314,0.81582,0.8241,0.85795,0.51565,1.42392,0.7773,1.16379,0.00505,0.00505,0.00505
127,4598.66,1.1993,0.8305,1.0468,0.82032,0.82487,0.85668,0.51466,1.41526,0.77569,1.15864,0.0050104,0.0050104,0.0050104
128,4634.84,1.16093,0.79904,1.02847,0.81579,0.82193,0.854,0.51497,1.41734,0.7739,1.15817,0.0049708,0.0049708,0.0049708
129,4670.94,1.17776,0.81326,1.03467,0.82534,0.81689,0.85571,0.51586,1.42089,0.77585,1.15998,0.0049312,0.0049312,0.0049312
130,4706.69,1.17214,0.79228,1.02935,0.82241,0.81555,0.85376,0.51585,1.4232,0.77692,1.1607,0.0048916,0.0048916,0.0048916
131,4742.35,1.19191,0.82814,1.0393,0.82541,0.81543,0.85473,0.51544,1.42567,0.7762,1.16321,0.004852,0.004852,0.004852
132,4777.98,1.19135,0.83021,1.0425,0.82261,0.81804,0.85433,0.51573,1.42341,0.77291,1.16326,0.0048124,0.0048124,0.0048124
133,4813.79,1.176,0.80485,1.03614,0.82357,0.81297,0.85358,0.51478,1.42715,0.77579,1.16445,0.0047728,0.0047728,0.0047728
134,4849.63,1.16081,0.79999,1.02751,0.82642,0.81298,0.85656,0.51459,1.42234,0.77416,1.16224,0.0047332,0.0047332,0.0047332
135,4885.67,1.15676,0.789,1.0263,0.82429,0.81539,0.85674,0.51473,1.42285,0.77366,1.16337,0.0046936,0.0046936,0.0046936
136,4921.7,1.1695,0.80679,1.02832,0.82327,0.81925,0.85634,0.516,1.42172,0.76976,1.16365,0.004654,0.004654,0.004654
137,4958.05,1.16366,0.80802,1.03143,0.8151,0.8267,0.85663,0.51607,1.41756,0.76905,1.1629,0.0046144,0.0046144,0.0046144
138,4994,1.18583,0.8256,1.0338,0.81664,0.81951,0.85597,0.51632,1.41795,0.76223,1.16279,0.0045748,0.0045748,0.0045748
139,5029.94,1.16422,0.8049,1.03089,0.81008,0.82797,0.85461,0.51511,1.41995,0.76436,1.16346,0.0045352,0.0045352,0.0045352
140,5065.78,1.17199,0.81235,1.03764,0.81277,0.82578,0.85461,0.51588,1.41997,0.76745,1.16362,0.0044956,0.0044956,0.0044956
141,5101.76,1.19616,0.83041,1.04219,0.81444,0.82806,0.85526,0.51548,1.41777,0.76654,1.16284,0.004456,0.004456,0.004456
142,5137.84,1.16717,0.79959,1.02347,0.81864,0.8278,0.85584,0.51637,1.42182,0.76306,1.16473,0.0044164,0.0044164,0.0044164
143,5173.7,1.1494,0.77603,1.02228,0.81508,0.82457,0.85497,0.51531,1.42402,0.76495,1.16601,0.0043768,0.0043768,0.0043768
144,5209.74,1.14678,0.789,1.02144,0.81387,0.82448,0.85351,0.51567,1.42106,0.7658,1.16467,0.0043372,0.0043372,0.0043372
145,5253.59,1.16241,0.78412,1.02157,0.81242,0.82787,0.85564,0.51684,1.41886,0.76484,1.16366,0.0042976,0.0042976,0.0042976
146,5289.45,1.17423,0.80699,1.03856,0.815,0.82922,0.85471,0.51785,1.41637,0.76409,1.16269,0.004258,0.004258,0.004258
