epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
96,9976.95,0.74254,0.49684,0.10852,0.86619,0.89988,0.90139,0.54002,0.4519,0.45551,0.09479,0.0052975,0.0052975,0.0052975
97,10077.6,0.81766,0.48904,0.11867,0.86176,0.89712,0.89749,0.51254,0.49139,0.45855,0.09826,0.005248,0.005248,0.005248
98,10178.4,0.83353,0.48472,0.12029,0.86645,0.90073,0.90075,0.55485,0.43049,0.44945,0.09282,0.0051985,0.0051985,0.0051985
99,10282.4,0.77027,0.49954,0.10879,0.85465,0.89553,0.8906,0.51259,0.48419,0.45959,0.09702,0.005149,0.005149,0.005149
100,10382,0.75336,0.49236,0.10928,0.85045,0.89428,0.88893,0.49737,0.49982,0.46412,0.0976,0.0050995,0.0050995,0.0050995
101,10482.2,0.84711,0.4976,0.12255,0.84928,0.89656,0.88816,0.51068,0.48345,0.45965,0.09618,0.00505,0.00505,0.00505
102,10583.1,0.77156,0.4885,0.11324,0.84478,0.88216,0.87686,0.47574,0.5215,0.46632,0.09968,0.0050005,0.0050005,0.0050005
103,10682.2,0.69954,0.49502,0.10109,0.85147,0.89122,0.88266,0.48622,0.50404,0.46712,0.09817,0.004951,0.004951,0.004951
104,10782,0.85768,0.48451,0.12014,0.84895,0.89632,0.88214,0.47864,0.5205,0.46811,0.09984,0.0049015,0.0049015,0.0049015
105,10884.8,0.8183,0.49584,0.12019,0.87074,0.89462,0.89671,0.53428,0.45716,0.45529,0.09434,0.004852,0.004852,0.004852
106,10984.8,0.67734,0.48042,0.09714,0.86932,0.90737,0.90227,0.54179,0.4462,0.45444,0.09396,0.0048025,0.0048025,0.0048025
107,11087.2,0.6774,0.48409,0.09901,0.86943,0.90795,0.90289,0.55633,0.42807,0.44803,0.09242,0.004753,0.004753,0.004753
108,11189.8,0.67681,0.49104,0.09609,0.86971,0.90757,0.90184,0.55724,0.42393,0.44889,0.09145,0.0047035,0.0047035,0.0047035
109,11291.5,0.71487,0.48255,0.10505,0.87034,0.90909,0.90189,0.56675,0.40981,0.44432,0.08996,0.004654,0.004654,0.004654
110,11394,0.71927,0.48783,0.10419,0.87384,0.911,0.90199,0.55988,0.42061,0.44525,0.09083,0.0046045,0.0046045,0.0046045
111,11495.2,0.7093,0.48842,0.10142,0.87529,0.90919,0.90249,0.56502,0.41226,0.44488,0.08977,0.004555,0.004555,0.004555
112,11599.4,0.68145,0.48431,0.09861,0.87521,0.911,0.90371,0.57026,0.4062,0.44336,0.08933,0.0045055,0.0045055,0.0045055
113,11711,0.70288,0.47999,0.09777,0.87482,0.91322,0.90451,0.57682,0.39959,0.4419,0.08839,0.004456,0.004456,0.004456
114,11914.1,0.6452,0.48328,0.0962,0.87248,0.91881,0.9045,0.57512,0.40099,0.44139,0.08881,0.0044065,0.0044065,0.0044065
115,12114.3,0.67629,0.48169,0.09269,0.87563,0.9156,0.90352,0.57317,0.40015,0.44211,0.08903,0.004357,0.004357,0.004357
116,12214.9,0.69599,0.48335,0.09938,0.87728,0.91515,0.90366,0.57352,0.40016,0.44194,0.08891,0.0043075,0.0043075,0.0043075
117,12314,0.71248,0.49045,0.10457,0.87667,0.91664,0.90461,0.57421,0.4002,0.44129,0.08872,0.004258,0.004258,0.004258
118,12414.9,0.70628,0.49116,0.10383,0.87615,0.91788,0.90449,0.57354,0.40277,0.44174,0.08907,0.0042085,0.0042085,0.0042085
119,12515.3,0.71785,0.48801,0.1013,0.87433,0.91915,0.90522,0.5757,0.40049,0.44169,0.08856,0.004159,0.004159,0.004159
120,12615,0.77996,0.4869,0.10767,0.87818,0.91708,0.90462,0.57473,0.4018,0.43958,0.08853,0.0041095,0.0041095,0.0041095
121,12716,1.04046,0.44432,0.16386,0.87872,0.91311,0.90306,0.54962,0.43441,0.44905,0.09129,0.00406,0.00406,0.00406
122,12815.5,0.68259,0.48739,0.0956,0.87871,0.91682,0.90449,0.55114,0.4356,0.45028,0.09152,0.0040105,0.0040105,0.0040105
123,12915.2,0.68246,0.47976,0.09739,0.87774,0.91616,0.90401,0.55057,0.43697,0.44987,0.09162,0.003961,0.003961,0.003961
124,13015.1,0.61978,0.47536,0.08838,0.87868,0.91693,0.90415,0.55406,0.43289,0.448,0.09109,0.0039115,0.0039115,0.0039115
125,13115.1,0.74842,0.47716,0.10617,0.87781,0.91604,0.90607,0.55902,0.42836,0.44521,0.09049,0.003862,0.003862,0.003862
126,13215.3,0.74895,0.48282,0.10523,0.87707,0.91729,0.90508,0.55772,0.4313,0.44547,0.09068,0.0038125,0.0038125,0.0038125
127,13316.2,0.8602,0.47578,0.11939,0.8808,0.91574,0.90583,0.55864,0.43043,0.4459,0.09016,0.003763,0.003763,0.003763
128,13418,0.78873,0.48102,0.11029,0.8792,0.91726,0.9053,0.55924,0.42907,0.44504,0.08995,0.0037135,0.0037135,0.0037135
129,13519.6,1.0299,0.44921,0.15216,0.88203,0.91788,0.90747,0.56778,0.41826,0.4432,0.08867,0.003664,0.003664,0.003664
130,13621.6,0.83431,0.48018,0.12266,0.88128,0.91694,0.90827,0.57781,0.4068,0.4392,0.08739,0.0036145,0.0036145,0.0036145
131,13724.9,0.61822,0.4783,0.08629,0.88222,0.91831,0.9081,0.57333,0.41122,0.44039,0.08826,0.003565,0.003565,0.003565
132,13824.3,0.62451,0.47238,0.08931,0.8822,0.91754,0.90812,0.57166,0.41236,0.44046,0.08848,0.0035155,0.0035155,0.0035155
133,13924.1,0.78561,0.46729,0.10922,0.8825,0.91725,0.90799,0.57339,0.41183,0.44032,0.08839,0.003466,0.003466,0.003466
134,14024.4,0.69454,0.46821,0.09569,0.88181,0.91864,0.90802,0.57324,0.41061,0.44021,0.08811,0.0034165,0.0034165,0.0034165
135,14124.4,0.68695,0.47114,0.0924,0.87999,0.91771,0.90764,0.57709,0.40655,0.43912,0.08769,0.003367,0.003367,0.003367
136,14225.5,0.7958,0.46945,0.10602,0.88037,0.91851,0.90765,0.57879,0.40442,0.43785,0.08742,0.0033175,0.0033175,0.0033175
137,14327.6,1.14637,0.42927,0.17483,0.88159,0.91543,0.90635,0.57302,0.41538,0.43943,0.08833,0.003268,0.003268,0.003268
138,14428.6,0.85404,0.45694,0.11736,0.88241,0.91371,0.90686,0.56715,0.42492,0.44147,0.08917,0.0032185,0.0032185,0.0032185
139,14528.6,0.74631,0.48024,0.1026,0.88169,0.91494,0.90617,0.56482,0.42621,0.44198,0.08924,0.003169,0.003169,0.003169
140,14628.9,0.92619,0.46608,0.13529,0.88117,0.91447,0.90449,0.56199,0.43241,0.44141,0.08956,0.0031195,0.0031195,0.0031195
141,14728.2,0.6093,0.47422,0.08625,0.87802,0.90998,0.90001,0.54264,0.4595,0.44613,0.09158,0.00307,0.00307,0.00307
142,14827.7,0.57894,0.46272,0.08252,0.87729,0.90452,0.89735,0.52596,0.48238,0.4483,0.09331,0.0030205,0.0030205,0.0030205
143,14926.6,0.57459,0.45849,0.08237,0.87802,0.90246,0.89539,0.5152,0.4964,0.44924,0.0942,0.002971,0.002971,0.002971
144,15025.9,0.71007,0.46488,0.09663,0.87762,0.89877,0.89201,0.50715,0.50591,0.45046,0.0949,0.0029215,0.0029215,0.0029215
145,15127.1,0.77826,0.45901,0.10544,0.87762,0.89512,0.89206,0.50381,0.50857,0.45098,0.09515,0.002872,0.002872,0.002872
146,15227.1,1.05519,0.43746,0.15193,0.87385,0.89149,0.88779,0.48926,0.52436,0.4521,0.09631,0.0028225,0.0028225,0.0028225
147,15326.6,0.64172,0.46803,0.0852,0.87732,0.88739,0.88539,0.48465,0.52843,0.45248,0.09669,0.002773,0.002773,0.002773
148,15426,1.08035,0.41517,0.16865,0.87419,0.89665,0.88807,0.49128,0.51633,0.45081,0.09583,0.0027235,0.0027235,0.0027235
149,15526.1,1.10126,0.43613,0.16506,0.87541,0.88881,0.88516,0.48168,0.53064,0.45314,0.09679,0.002674,0.002674,0.002674
150,15626.9,0.69431,0.46487,0.0911,0.8739,0.87751,0.87809,0.45866,0.5604,0.45609,0.09923,0.0026245,0.0026245,0.0026245
151,15728.3,0.76825,0.44931,0.10398,0.87402,0.87912,0.87958,0.45903,0.55853,0.4562,0.09901,0.002575,0.002575,0.002575
