epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
93,3260.45,1.3667,1.33775,1.11348,0.8184,0.7931,0.83527,0.48192,1.4693,0.83895,1.16242,0.005446,0.005446,0.005446
94,3295.29,1.35805,1.32869,1.10168,0.81834,0.7767,0.83147,0.48506,1.45353,0.84609,1.15591,0.0053965,0.0053965,0.0053965
95,3330.26,1.37759,1.35467,1.11328,0.81938,0.78589,0.83326,0.48461,1.4513,0.84052,1.16004,0.005347,0.005347,0.005347
96,3365.62,1.37484,1.36616,1.10929,0.80635,0.79244,0.82638,0.48102,1.45256,0.84537,1.15878,0.0052975,0.0052975,0.0052975
97,3400.84,1.36883,1.31398,1.11614,0.81665,0.79574,0.83151,0.48298,1.44835,0.83332,1.15571,0.005248,0.005248,0.005248
98,3435.62,1.37409,1.37107,1.11675,0.81482,0.7983,0.83194,0.48104,1.45442,0.84361,1.15955,0.0051985,0.0051985,0.0051985
99,3471.15,1.36641,1.3226,1.09881,0.8201,0.7912,0.83227,0.48612,1.44537,0.8419,1.15387,0.005149,0.005149,0.005149
100,3506.83,1.38355,1.33977,1.12363,0.81053,0.80059,0.83229,0.4841,1.4488,0.83927,1.15361,0.0050995,0.0050995,0.0050995
101,3541.77,1.35664,1.32937,1.10052,0.80646,0.79756,0.83525,0.48416,1.44972,0.84401,1.15433,0.00505,0.00505,0.00505
102,3576.33,1.35965,1.31815,1.10921,0.82555,0.78569,0.83656,0.48667,1.45001,0.83324,1.15577,0.0050005,0.0050005,0.0050005
103,3611.39,1.34759,1.33864,1.09986,0.82198,0.78366,0.83377,0.48728,1.44997,0.83395,1.15633,0.004951,0.004951,0.004951
104,3646.21,1.3551,1.33612,1.10295,0.8192,0.79067,0.82985,0.48367,1.44911,0.83255,1.15415,0.0049015,0.0049015,0.0049015
105,3681.28,1.32619,1.28302,1.08673,0.8102,0.79171,0.83679,0.48756,1.44808,0.82381,1.15412,0.004852,0.004852,0.004852
106,3716.76,1.34963,1.26714,1.0944,0.82268,0.79636,0.84039,0.48888,1.44075,0.82475,1.15249,0.0048025,0.0048025,0.0048025
107,3752.41,1.34994,1.32611,1.09431,0.81156,0.79228,0.84159,0.4914,1.44464,0.82851,1.15213,0.004753,0.004753,0.004753
108,3787.54,1.3092,1.28351,1.08889,0.80476,0.80109,0.83749,0.48805,1.44464,0.83265,1.15335,0.0047035,0.0047035,0.0047035
109,3822.6,1.32465,1.30367,1.09417,0.8111,0.80255,0.83949,0.49151,1.4385,0.81921,1.15055,0.004654,0.004654,0.004654
110,3857.36,1.32547,1.26338,1.0915,0.81413,0.7988,0.83678,0.48775,1.44008,0.82057,1.15303,0.0046045,0.0046045,0.0046045
111,3892.65,1.32362,1.25586,1.09445,0.81943,0.80329,0.83438,0.48463,1.44183,0.82277,1.15392,0.004555,0.004555,0.004555
112,3927.54,1.34235,1.29175,1.09967,0.80814,0.80538,0.8381,0.48565,1.44292,0.82483,1.15454,0.0045055,0.0045055,0.0045055
113,3962.74,1.35582,1.28778,1.10015,0.80869,0.81007,0.83621,0.49104,1.44313,0.82006,1.15358,0.004456,0.004456,0.004456
114,3998.09,1.3541,1.3079,1.095,0.80964,0.8085,0.83681,0.49152,1.43946,0.81462,1.15408,0.0044065,0.0044065,0.0044065
115,4033.42,1.33326,1.27877,1.10051,0.82645,0.79758,0.83924,0.49229,1.43468,0.81353,1.15322,0.004357,0.004357,0.004357
116,4068.45,1.34849,1.31232,1.10606,0.82142,0.79864,0.83517,0.48741,1.44229,0.81615,1.15676,0.0043075,0.0043075,0.0043075
117,4103.36,1.34065,1.28507,1.09892,0.82208,0.79255,0.83943,0.49304,1.43512,0.81308,1.15296,0.004258,0.004258,0.004258
118,4138.48,1.32865,1.3005,1.10849,0.82531,0.79202,0.83985,0.49146,1.43773,0.81367,1.15321,0.0042085,0.0042085,0.0042085
119,4173.27,1.31619,1.27422,1.08706,0.81751,0.79594,0.84121,0.49213,1.43635,0.81357,1.15238,0.004159,0.004159,0.004159
120,4207.96,1.32348,1.25341,1.09209,0.81689,0.79859,0.84509,0.49639,1.43365,0.8059,1.15119,0.0041095,0.0041095,0.0041095
121,4243.47,1.32308,1.30354,1.09851,0.83062,0.79146,0.84359,0.49792,1.429,0.80501,1.14931,0.00406,0.00406,0.00406
