                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     99,                0.76252,                0.38147,                0.90114,                0.93207,                0.94453,                0.96339,                0.74061,                0.89751,                0.40309,                0.97497,               0.003532,               0.003532,               0.003532
                    100,                0.76497,                0.37676,                0.90201,                0.93147,                0.94389,                0.96331,                0.73914,                0.89718,                0.40301,                0.97468,               0.003466,               0.003466,               0.003466
                    101,                0.75566,                 0.3736,                0.89687,                0.93226,                0.94505,                0.96343,                0.74048,                 0.8987,                0.40337,                0.97551,                 0.0034,                 0.0034,                 0.0034
                    102,                0.75147,                0.37456,                0.89642,                  0.933,                0.94374,                0.96363,                0.74076,                0.89601,                0.40277,                0.97482,               0.003334,               0.003334,               0.003334
                    103,                0.74788,                0.36819,                0.89464,                0.92969,                0.94532,                0.96336,                0.74079,                0.89448,                0.40252,                0.97412,               0.003268,               0.003268,               0.003268
                    104,                0.74771,                0.36919,                0.89569,                0.93143,                0.94501,                0.96343,                0.74115,                0.89479,                 0.4018,                0.97401,               0.003202,               0.003202,               0.003202
                    105,                0.73904,                0.36723,                  0.894,                 0.9335,                0.94219,                0.96348,                0.74162,                0.89637,                0.40149,                 0.9749,               0.003136,               0.003136,               0.003136
                    106,                0.74156,                0.36617,                0.89475,                0.93256,                0.94465,                0.96425,                0.74247,                0.89301,                0.40063,                0.97406,                0.00307,                0.00307,                0.00307
                    107,                0.74006,                0.36538,                0.89219,                0.92975,                0.94815,                0.96467,                0.74205,                0.89359,                0.39979,                 0.9745,               0.003004,               0.003004,               0.003004
                    108,                0.73174,                0.36174,                0.89004,                0.93379,                 0.9454,                0.96413,                0.74316,                0.89108,                0.39888,                 0.9735,               0.002938,               0.002938,               0.002938
                    109,                0.73451,                0.36454,                0.89471,                0.92756,                0.95016,                 0.9639,                 0.7437,                0.89103,                0.39873,                0.97348,               0.002872,               0.002872,               0.002872
                    110,                0.72489,                0.35831,                0.88941,                0.92869,                0.95027,                0.96352,                0.74348,                0.88936,                0.39859,                0.97334,               0.002806,               0.002806,               0.002806
                    111,                0.71913,                0.35803,                0.88827,                0.93218,                0.94926,                0.96368,                0.74353,                0.88717,                0.39716,                0.97323,                0.00274,                0.00274,                0.00274
                    112,                0.72289,                0.35626,                 0.8908,                0.93321,                0.94814,                0.96381,                0.74369,                 0.8879,                0.39704,                 0.9735,               0.002674,               0.002674,               0.002674
                    113,                0.71832,                0.35792,                0.88884,                 0.9319,                 0.9494,                0.96402,                 0.7434,                0.88811,                0.39656,                0.97345,               0.002608,               0.002608,               0.002608
                    114,                0.71791,                0.35328,                0.88864,                0.92875,                0.95178,                0.96364,                0.74341,                0.88882,                0.39694,                0.97409,               0.002542,               0.002542,               0.002542
                    115,                0.71112,                0.35294,                0.88563,                0.92692,                0.95213,                0.96369,                0.74319,                0.88984,                0.39722,                0.97482,               0.002476,               0.002476,               0.002476
                    116,                0.71153,                0.35198,                0.88604,                0.92763,                0.95131,                0.96378,                0.74391,                0.88874,                0.39719,                0.97475,                0.00241,                0.00241,                0.00241
                    117,                0.70468,                0.34889,                 0.8872,                 0.9327,                0.94498,                0.96386,                0.74369,                0.88864,                0.39729,                0.97509,               0.002344,               0.002344,               0.002344
                    118,                0.69607,                0.34673,                0.88132,                0.92952,                0.94758,                0.96421,                0.74386,                0.88866,                0.39722,                0.97543,               0.002278,               0.002278,               0.002278
                    119,                0.68249,                 0.3392,                0.87993,                0.93056,                0.94621,                0.96407,                0.74274,                0.88995,                 0.3978,                0.97599,               0.002212,               0.002212,               0.002212
                    120,                0.69653,                0.34153,                0.88379,                0.92914,                0.94924,                0.96388,                 0.7429,                0.88986,                0.39758,                 0.9761,               0.002146,               0.002146,               0.002146
                    121,                0.70017,                0.34421,                0.88368,                0.93125,                0.94632,                0.96374,                0.74346,                0.88875,                0.39751,                0.97567,                0.00208,                0.00208,                0.00208
                    122,                0.69237,                0.34326,                0.88097,                0.93341,                 0.9454,                0.96358,                 0.7438,                0.88895,                0.39723,                0.97603,               0.002014,               0.002014,               0.002014
                    123,                0.69641,                0.34428,                0.88747,                0.93243,                0.94616,                0.96352,                0.74384,                0.88868,                0.39729,                0.97616,               0.001948,               0.001948,               0.001948
                    124,                0.68935,                0.34006,                0.88097,                0.93172,                0.94765,                0.96347,                0.74417,                0.88865,                0.39713,                0.97621,               0.001882,               0.001882,               0.001882
                    125,                0.69138,                 0.3414,                0.88347,                0.93076,                0.94726,                0.96333,                0.74395,                0.88867,                0.39702,                 0.9765,               0.001816,               0.001816,               0.001816
                    126,                0.68107,                0.33744,                0.87816,                0.92984,                0.94853,                 0.9635,                0.74429,                0.88705,                0.39616,                0.97569,                0.00175,                0.00175,                0.00175
                    127,                0.68105,                0.33904,                0.87978,                 0.9297,                0.94962,                0.96334,                0.74484,                0.88623,                0.39583,                0.97569,               0.001684,               0.001684,               0.001684
                    128,                0.66856,                0.33582,                0.87371,                0.93201,                0.94723,                 0.9634,                0.74449,                0.88575,                0.39536,                0.97536,               0.001618,               0.001618,               0.001618
                    129,                0.67125,                0.33664,                 0.8801,                0.93567,                0.94422,                0.96346,                0.74498,                0.88599,                0.39557,                0.97525,               0.001552,               0.001552,               0.001552
                    130,                0.67287,                0.33414,                0.87719,                0.93671,                 0.9427,                0.96347,                0.74468,                0.88658,                0.39558,                0.97539,               0.001486,               0.001486,               0.001486
                    131,                 0.6595,                0.32791,                 0.8715,                0.93688,                0.94277,                0.96348,                0.74492,                0.88661,                0.39565,                0.97562,                0.00142,                0.00142,                0.00142
